
Scan Time:     2024-04-09 10:56:28
Target File:   /home/kali/sync/dora.bin
MD5 Checksum:  d58d75d707e56b378367c301cc317aee
Signatures:    445
DECIMAL       HEXADECIMAL     DESCRIPTION
--------------------------------------------------------------------------------
505376        0x7B620         Intel x86 or x64 microcode, sig 0x01020010, pf_mask 0x105, 4F1D-00-01, rev 0x0104, size 16973824
505406        0x7B63E         Intel x86 or x64 microcode, sig 0x01060060, pf_mask 0x80000101, 42FF-00-01, rev 0x0103, size 5636176
505795        0x7B7C3         EFS2 Qualcomm filesystem super block, little endian, , NOR version 0x5400, 21760 blocks, 0x4f004400 pages per block, 0x47005500 bytes per page
505808        0x7B7D0         EFS2 Qualcomm filesystem super block, big endian, , NOR version 0x4400, 637551872 blocks, 0x53004100 pages per block, 0x56004500 bytes per page
505821        0x7B7DD         EFS2 Qualcomm filesystem super block, little endian, , NOR version 0x4100, 1140858880 blocks, 0x54004900 pages per block, 0x2d000000 bytes per page
506320        0x7B9D0         Intel x86 or x64 microcode, sig 0x00000002, pf_mask 0x01, 0000-00-30, rev 0x20040, size 4194304
506344        0x7B9E8         Intel x86 or x64 microcode, sig 0x00000003, pf_mask 0x02, 0000-00-40, rev 0x30040, size 3145728
506362        0x7B9FA         Intel x86 or x64 microcode, sig 0x00000002, pf_mask 0x01, 0000-00-30, rev 0x20040, size 4194304
506386        0x7BA12         Intel x86 or x64 microcode, sig 0x00000003, pf_mask 0x02, 0000-00-40, rev 0x10040, size 3145728
506392        0x7BA18         Intel x86 or x64 microcode, sig 0x00000001, pf_mask 0x01, 0000-00-30, rev 0x30040, size 3145728
506404        0x7BA24         Intel x86 or x64 microcode, sig 0x00000001, pf_mask 0x01, 0000-00-30, rev 0x20030, size 4194304
506416        0x7BA30         Intel x86 or x64 microcode, sig 0x00000001, pf_mask 0x03, 0000-00-30, rev 0x30030, size 256
506428        0x7BA3C         Intel x86 or x64 microcode, sig 0x00000003, pf_mask 0x1d4d6, 0000-00-40, rev 0x20030, size 3941728256
506454        0x7BA56         Intel x86 or x64 microcode, sig 0x0102009b, pf_mask 0x110, EAF2-00-01, rev 0x0101, size 17891366
506576        0x7BAD0         Broadcom firmware header Corporatio @. Model: . Firmware version: .
506730        0x7BB6A         Intel x86 or x64 microcode, sig 0x00010002, pf_mask 0x20004, 0001-00-02, rev 0x20002, size 65539
506744        0x7BB78         Intel x86 or x64 microcode, sig 0x00010002, pf_mask 0x03, 0002-00-04, rev 0x20004, size 16777216
506784        0x7BBA0         Intel x86 or x64 microcode, sig 0x0101000c, pf_mask 0x680066, 14E1-00-01, rev 0x0102, size 2048
506804        0x7BBB4         Intel x86 or x64 microcode, pf_mask 0xf0000, 006A-00-6B, rev 0x680066, size 65537
507518        0x7BE7E         Intel x86 or x64 microcode, sig 0x00000002, pf_mask 0x01, 0000-00-30, rev 0x20040, size 4194304
507542        0x7BE96         Intel x86 or x64 microcode, sig 0x00000003, pf_mask 0x02, 0000-00-40, rev 0x30040, size 3145728
507560        0x7BEA8         Intel x86 or x64 microcode, sig 0x00000002, pf_mask 0x01, 0000-00-30, rev 0x20040, size 4194304
507584        0x7BEC0         Intel x86 or x64 microcode, sig 0x00000003, pf_mask 0x02, 0000-00-40, rev 0x10040, size 3145728
507590        0x7BEC6         Intel x86 or x64 microcode, sig 0x00000001, pf_mask 0x01, 0000-00-30, rev 0x30040, size 3145728
507602        0x7BED2         Intel x86 or x64 microcode, sig 0x00000001, pf_mask 0x01, 0000-00-30, rev 0x20030, size 4194304
507614        0x7BEDE         Intel x86 or x64 microcode, sig 0x00000001, pf_mask 0x03, 0000-00-30, rev 0x30030, size 256
507626        0x7BEEA         Intel x86 or x64 microcode, sig 0x00000003, pf_mask 0x42694, 0000-00-40, rev 0x20030, size 663027712
507938        0x7C022         Intel x86 or x64 microcode, sig 0x00200003, pf_mask 0x400006, 0010-00-00, rev 0x40000, size 128
507992        0x7C058         Intel x86 or x64 microcode, sig 0x00190056, pf_mask 0x30002, 002D-00-19, rev 0x190004, size 524294
508094        0x7C0BE         Intel x86 or x64 microcode, sig 0x00000003, pf_mask 0x20001, 0000-00-04, rev 0x30002, size 262146
508300        0x7C18C         Intel x86 or x64 microcode, pf_mask 0x2540b, 0000-00-00, size 15258
508364        0x7C1CC         Intel x86 or x64 microcode, sig 0x03e80000, pf_mask 0x00, 0000-00-00, rev 0x27100000, size 2048
508698        0x7C31A         Intel x86 or x64 microcode, sig 0x01010017, pf_mask 0x17155, 98CE-00-01, rev 0x0103, size 95131
508970        0x7C42A         Intel x86 or x64 microcode, sig 0x00010002, pf_mask 0x20004, 0001-00-02, rev 0x20002, size 65539
508984        0x7C438         Intel x86 or x64 microcode, sig 0x00010002, pf_mask 0x03, 0002-00-04, rev 0x20004, size 16777216
509028        0x7C464         Intel x86 or x64 microcode, sig 0x00500003, pf_mask 0x340002, 0040-00-00, rev 0x20000, size 3407924
509482        0x7C62A         Intel x86 or x64 microcode, sig 0x0102003f, pf_mask 0x103, 602A-00-01, rev 0x0101, size 17039372
509948        0x7C7FC         Intel x86 or x64 microcode, sig 0x03e80000, pf_mask 0x00, 0000-00-00, rev 0x27100000, size 2048
