DECIMAL,HEXADECIMAL,DESCRIPTION
2340261,2340261,"Intel x86 or x64 microcode, sig 0x16555561, pf_mask 0x55526114, 1A71-16-11, rev 0x11554110, size 2048"
2340756,2340756,"Intel x86 or x64 microcode, sig 0xb9999999, pf_mask 0x1c222199, 1999-12-11, rev 0x-66f00000, size 337"
2340821,2340821,"Intel x86 or x64 microcode, sig 0x16555561, pf_mask 0x55526114, 1A71-16-11, rev 0x11554100, size 2048"
2346962,2346962,"Intel x86 or x64 microcode, sig 0x15979999, pf_mask 0x17171a19, 1A19-11-11, rev 0x-666667f0, size 16"
2347554,2347554,"Intel x86 or x64 microcode, sig 0x10159999, pf_mask 0x11111a19, 1A19-11-11, rev 0x-666667f0, size 23"
2347570,2347570,"Intel x86 or x64 microcode, sig 0x61159999, pf_mask 0xcbbbba19, 1A19-11-11, rev 0x-666667f0, size 23"
2348770,2348770,"Intel x86 or x64 microcode, sig 0x15979999, pf_mask 0x17171a19, 1A19-11-11, rev 0x-666667f0, size 2048"
2349974,2349974,"Intel x86 or x64 microcode, sig 0x17969991, pf_mask 0x16161a19, 1A19-11-11, rev 0x-666667f0, size 2048"
2356580,2356580,"Intel x86 or x64 microcode, sig 0xb9999999, pf_mask 0x1c222199, 1999-12-11, rev 0x-66efef00, size 337"
2356645,2356645,"Intel x86 or x64 microcode, sig 0x16555561, pf_mask 0x55526114, 1A71-16-11, rev 0x11554110, size 2048"
2357140,2357140,"Intel x86 or x64 microcode, sig 0xb9999999, pf_mask 0x1c222199, 1999-12-11, rev 0x-66f00000, size 337"
2357205,2357205,"Intel x86 or x64 microcode, sig 0x16555561, pf_mask 0x55526114, 1A71-16-11, rev 0x11554100, size 2048"
5140640,5140640,"JPEG image data, JFIF standard 1.01"
5157024,5157024,"JPEG image data, JFIF standard 1.01"
5173408,5173408,"JPEG image data, JFIF standard 1.01"
5184495,5184495,StuffIt Deluxe Segment (data): fffV5
